,BUSINESS_NAME,DBA_NAME,ZIP_CODE,LOCATION,zip
0,MOISES CLEMENTE,THE REAL SNACK STORE,90011-5116,"(33.9922, -118.2651)",90011
1,LETS WORK ALL INC,7-ELEVEN STORE 39763A,90065-1410,"(34.1144, -118.2454)",90065
2,THE SUPER 4 INC,THE SUPER 4 INC,90018-3826,"(34.0227, -118.3091)",90018
3,MAURA CALIXTO VELAZQUEZ,VELAZQUEZ MINI MARKET,90003-3335,"(33.9614, -118.2782)",90003
4,HELLUVA GOOD TIME INC,T & J MARKET,90003-3756,"(33.9544, -118.2738)",90003
5,"BIG 6 HOLDINGS, INC.","BIG 6 HOLDINGS, INC.",90057-2602,"(34.0629, -118.281)",90057
6,STOP 7 MARKET INC,STOP 7 MARKET,90021-1436,"(34.0403, -118.2467)",90021
7,DANIEL AREGA DEMEKE,B SAVER DISCOUNT STORE,90057-2232,"(34.067, -118.2718)",90057
8,THE VONS COMPANIES INC,VONS #2100 | VONS 2100,90034-2713,"(34.0307, -118.4019)",90034
9,SMART & FINAL STORES LLC,SMART FINAL #310,90021-2331,"(34.0278, -118.242)",90021
10,BENVAL INC,EAST VERNON MARKET,90011-3722,"(34.0041, -118.252)",90011
11,JAG CONVENIENCE INC,RUSSELL'S CONVENIENCE | RUSSELL'S CONVENIENCE #702,90071-3049,"(34.0534, -118.2535)",90071
12,KI JOO / MOK RAN HWANG,CATALINA LIQUOR ON 8TH,90005-1903,"(34.0577, -118.2954)",90005
13,SAMUEL LIM,VIRGIL FARM MARKET,90029-2941,"(34.087, -118.2868)",90029
14,MARTIN GARCIA RODRIGUEZ,GARCIA'S MINI MARKET,90037-1417,"(34.0129, -118.274)",90037
15,KAREEN M SANTANA/MARIA M SANCHEZ,BO'S MARKET | BO'S MINI MARKET,90061-1813,"(33.9272, -118.2782)",90061
16,QUICKMART CORPORATION,QUICKMART CORPORATION,90014-2119,"(34.0443, 34.0443)",90014
17,FADY ONE STOP AUTO INC,FADY ONE STOP AUTO,90035-3715,"(34.0512, -118.3758)",90035
18,ABIOLA A DELU,TOYIN MINI MARKET,90062-1611,"(34.0034, -118.3081)",90062
19,KOSHER EXPRESS LLC,KOSHER EXPRESS LLC,90035-4413,"(34.0498, -118.3819)",90035
20,LULULALA USA VENTURES,LULULALA USA VENTURES,90005-3376,"(34.0574, -118.3094)",90005
21,BRAULIO VAZQUEZ GARCIA,PUEBLA PRODUCE,90021-0021,"(34.0353, -118.2459)",90021
22,RUNA 1987 INC,CENTRAL LIQUOR,90001-2941,"(33.9689, -118.2565)",90001
23,EL CANEY MEAT MARKET INC,EL CANEY MEAT MARKET INC,90004-1809,"(34.0796, -118.3048)",90004
24,JOHN SHIN & YUN SHIN,7-ELEVEN STORE 37709A,90033-1317,"(34.0575, -118.2102)",90033
25,ESTEBAN HERNANDEZ / ROSANA GOMEZ,HAELY'S WATER STORE MINI MARKET,90011-3138,"(34.0076, -118.2564)",90011
26,JOSE CARBAJAL,DD'S DELI & MINI MARKET,90047-2209,"(33.9743, -118.3016)",90047
27,I&O COMMUNITY MARKET LLC,BIG APPLE,90014-2178,"(34.0437, -118.2497)",90014
28,WANGJA & NANA INC,LUCKY MARKET,90029-3230,"(34.0865, 34.0865)",90029
29,T & J MARKET,T & J MARKET,90015-1227,"(34.0468, -118.2723)",90015
30,SHETU SHATHI INC,JK MARKET,90003-1431,"(33.9817, -118.2784)",90003
31,ELVIRA LOPEZ,ELVIRA LOPEZ,90011-2652,"(34.011, -118.2723)",90011
32,JONATHAN GUADALUPE RODRIGUEZ,C & S MINI MART,90044-6351,"(33.9889, -118.2858)",90044
33,RALPHS GROCERY CO,RALPHS GROCERY #283,90016-4706,"(34.0215, -118.3551)",90016
34,ZEYTUN GROCERY AND DELI INC,ZEYTUN GROCERY AND DELI INC,90027-5715,"(34.0982, -118.3017)",90027
35,RALPHS GROCERY CO,RALPHS GROCERY CO #266,90044-4054,"(33.9247, -118.2915)",90044
36,ANGELA DIAZ & YOLANDA DIAZ,RAY AND ROY'S MARKET,90018-2931,"(34.0295, -118.321)",90018
