,id,name,overall_rating,review_count,address,zip
0,cal0Wpupxj9c_AV7WzDXsw,GRANVILLE,4.5,2215,8701 Beverly Blvd,90048
1,RVbZaawgEGmto6TxOoVBdQ,Running Goose,4.5,1466,1620 N Cahuenga Blvd,90028
2,88kri8FhXy8b3DQ_QjSMmQ,L'Antica Pizzeria Da Michele,4.5,1529,1534 N McCadden Pl,90028
3,h1R2iKYdm2lwukzMJvJqDw,Hangari Kalguksu,4.5,2209,3470 W 6th St,90020
4,iRjnWYY5oVJTaZ5teU1vOQ,King Chang - LA,5.0,212,3732 W 6th St,90020
5,WO12S4gvOYkYF8_70RWrQA,HanEuem,4.5,147,539 S Western Ave,90020
6,z0zaCVA-p_5xTsyUZrmR0g,Republique,4.0,6457,624 S La Brea Ave,90036
7,1RJCu-0D5ZEnVRBKwqodGQ,Great White,4.0,209,244 N Larchmont Blvd,90004
8,HuQtriV_ApipXfM8xax33w,Met Him At A Bar,4.5,466,801 S La Brea,90036
9,wvaNbC16NuJIQD0g8WPjRw,TOKKI - Korean Tapas,4.5,310,3465 W 6th St,90020
10,XT5o_SKmmpIGvwDKYZw5tg,The Highlight Room Grill,4.0,378,6417 Selma Ave,90028
11,1QLYTXPsRP4d7-VUtgmVew,Gunsmoke,4.5,25,1550 N El Centro Ave,90028
12,25fipMHUHLZTq0sVQINi5g,The Front Yard,4.0,2945,4222 Vineland Ave,91602
13,0IeIzElSBK1XJVqtzFvRlA,Pixiu Mala Hongtang,4.5,16,425 S Western Ave,90020
14,wwTc59Ul8abQO0dLon5jkA,Mother Tongue,4.0,112,960 N La Brea Ave,90038
15,dnYh7aAv1O5RwseWGdLOKQ,Ka'teen,4.0,312,6516 Selma Ave,90028
16,eMCp5br4J_4at3jIX2ljrg,Hui Tou Xiang,4.5,122,1643 N Cahuenga Blvd,90028
17,RpljDiS3TghWGL4ZezUxGw,Seoul Salon Restaurant & Bar,4.5,139,3600 Wilshire Blvd,90005
18,BSUDJiaKZwbB8G-GTUst_g,Beauty & Essex,4.0,1408,1615 Cahuenga Blvd,90028
19,rr-hXB0ZqXLzUP97yftp0g,Osteria Mamma,4.0,1820,5732 Melrose Ave,90038
20,23Qrcz2i9e2e8MstUIIO0A,Yuko Kitchen,4.5,1802,5484 Wilshire Blvd,90036
21,0SerWqGwzNWpTA2RBLVdUg,Sun Nong Dan,4.0,2134,3470 W 6th St,90020
22,irWMpwJ1JFx5ih4TTQVo6Q,The Edmon,4.5,258,5168 Melrose Ave,90038
23,DrToq9357afdpOyO5w0Y5w,Yup Dduk LA,4.5,2292,3603 W 6th St,90020
24,ccJcaRCHQkJmmnGC1SN4hQ,Louders,4.5,349,3470 W 6th St,90020
25,tpq6x8ksSE-miLP1JbiOmw,LAON,5.0,70,3446 Wilshire Blvd,90010
26,vs8USEc1A480H8MnmFKs5A,Chadolpoong,4.5,504,3470 W 6th St,90020
27,LNb-ElJwKIXS6Lx5xdRB1Q,Toca Madera - Los Angeles,4.0,2710,8450 W 3rd St,90048
28,eHwdLWQrg4nr_3fuiH_jhQ,Honey Night,5.0,407,3526 W 8th St,90005
29,LxCr7b3sOLnfDvpfZS7daQ,Seoul Night by Chef Kang,4.5,48,3377 Wilshire Blvd,90010
30,GKQApReu8U9hip4A2ApJ_A,Osteria La Buca,4.0,2163,5210 Melrose Ave,90038
31,3FlrvSaW-TSwkQDsCpKYEg,OSTE,5.0,372,8142 W Third St,90048
32,kdTFcDSl9vAR-btEm1Q2uw,Bao Dim Sum House,4.0,3363,8256 Beverly Blvd,90048
33,dNxZ53R6QUYOFtd2q0-S2Q,Casablanca Moroccan kitchens,5.0,318,6919 Melrose Ave,90038
34,pLP4joJ99UpIQpNh6kxZFw,Girl & The Goat,4.5,964,555-3 Mateo St,90013
35,MlmcOkwaNnxl3Zuk6HsPCQ,Slurpin' Ramen Bar - Los Angeles,4.5,5235,3500 W 8th St,90005
36,-KqNRM-drDM7Nu9i9xEnfA,La Pergoletta,4.5,1156,1802 Hillhurst Ave,90027
37,V_t4QBPg-eC9-rpD1TRYQg,Mother Wolf,4.0,260,1545 Wilcox Ave,90028
38,LJEsTC6Juzr0lL-hla7nVw,Mr. T,4.5,20,953 N Sycamore Ave,90038
39,KDcTFp2P40ycRj12GKKcXg,Rich Crab,4.5,123,4253 W 3rd St,90020
40,e0Vs3U-XkLkZ7EJ6JgPAYQ,Olivia,5.0,93,205 S Vermont Ave,90004
41,uzAbw27XQTXTivjgf2bN2w,Han Bat Sul Lung Tang,4.5,2561,4163 W 5th St,90020
42,qAAoilHU25Qr45FOQlA19g,Kang Ho-dong Baekjeong,4.5,4780,3465 W 6th St,90020
43,seiRoxoYszQt62oDq1J_-g,Mes Amis,4.5,43,1541 Wilcox Ave,90028
44,sXdOBghhw-ZU9S-1HxVZVA,Bacari Silverlake,4.5,1722,3626 Sunset Blvd,90026
45,sPw1o5OYWE5C2JtbTXp5wg,Jon & Vinny's Fairfax,4.0,2184,412 N Fairfax Ave,90036
46,RarITW4zBvhqKAK8FVOFCQ,Supremo,4.5,306,901 S La Brea Ave,90036
47,Xcl1eK5jHzx6x7wOKRWWDg,Gangnam Station Korean BBQ,4.5,251,3785 Wilshire Blvd,90010
48,ohosmz6FXVAeoW5nUkYwng,Pine & Crane,4.5,2714,1521 Griffith Park Blvd,90026
49,8LdFAPdaWMg9sVRgmRv0NQ,Mama Shelter Rooftop Bar,3.5,730,6500 Selma Ave,90028
50,_s3jlSbTZVvWSAt8_cEyWg,Junkyard Dog,5.0,23,4330 W Sunset Blvd,90029
51,VndWkH3-0P1c23BZiuuAbg,Cara Cara,4.0,277,1100 S Broadway,90015
52,y4X0KfHJ5XWwxMIRukVr1Q,Chang Hwa Dang,4.5,165,3377 Wilshire Blvd,90010
53,F2W1R7yIvSOqD1xH_F1cZA,Wood,4.0,938,2861 Sunset Blvd,90026
54,NQqA1cjS0rHn_96VwtnhMg,Good Goose Cafe,5.0,195,5210 Beverly Blvd,90004
